iter	Passed	Remaining
677	3476	1650
678	3480	1645
679	3484	1639
680	3488	1634
681	3492	1628
682	3496	1622
683	3500	1616
684	3503	1611
685	3507	1605
686	3512	1600
687	3516	1594
688	3519	1588
689	3523	1582
690	3527	1577
691	3531	1571
692	3536	1566
693	3540	1561
694	3545	1555
695	3548	1550
696	3553	1544
697	3557	1539
698	3562	1533
699	3566	1528
700	3570	1522
701	3574	1517
702	3578	1511
703	3581	1506
704	3585	1500
705	3589	1494
706	3594	1489
707	3598	1484
708	3603	1479
709	3608	1473
710	3611	1468
711	3615	1462
712	3619	1457
713	3624	1451
714	3627	1446
715	3631	1440
716	3635	1435
717	3640	1429
718	3644	1424
719	3648	1418
720	3652	1413
721	3656	1407
722	3660	1402
723	3663	1396
724	3669	1391
725	3673	1386
726	3676	1380
727	3680	1375
728	3685	1369
729	3689	1364
730	3693	1359
731	3697	1353
732	3701	1348
733	3705	1342
734	3709	1337
735	3714	1332
736	3718	1326
737	3722	1321
738	3726	1316
739	3730	1310
740	3734	1305
741	3739	1300
742	3743	1295
743	3749	1290
744	3754	1285
745	3757	1279
746	3762	1274
747	3766	1268
748	3770	1263
749	3773	1257
750	3778	1252
751	3782	1247
752	3786	1242
753	3789	1236
754	3795	1231
755	3799	1226
756	3802	1220
757	3806	1215
758	3810	1209
759	3814	1204
760	3817	1199
761	3820	1193
762	3825	1188
763	3828	1182
764	3832	1177
765	3835	1171
766	3838	1166
767	3843	1160
768	3846	1155
769	3849	1149
770	3852	1144
771	3856	1138
772	3859	1133
773	3862	1127
774	3865	1122
775	3869	1117
776	3873	1111
777	3877	1106
778	3880	1101
779	3884	1095
780	3887	1090
781	3891	1084
782	3894	1079
783	3897	1073
784	3901	1068
785	3904	1063
786	3907	1057
787	3911	1052
788	3914	1046
789	3918	1041
790	3922	1036
791	3926	1031
792	3929	1025
793	3934	1020
794	3938	1015
795	3943	1010
796	3947	1005
797	3951	1000
798	3955	995
799	3958	989
800	3962	984
801	3967	979
802	3970	974
803	3974	968
804	3977	963
805	3981	958
806	3985	953
807	3988	947
808	3991	942
809	3996	937
810	3999	932
811	4003	926
812	4006	921
813	4010	916
814	4013	911
815	4017	905
816	4020	900
817	4024	895
818	4027	890
819	4031	884
820	4034	879
821	4037	874
822	4041	869
823	4045	864
824	4048	858
825	4052	853
826	4057	848
827	4061	843
828	4065	838
829	4069	833
830	4074	828
831	4078	823
832	4082	818
833	4086	813
834	4090	808
835	4094	803
836	4097	797
837	4101	792
838	4106	787
839	4109	782
840	4114	777
841	4118	772
842	4122	767
843	4127	762
844	4131	757
845	4137	753
846	4141	748
847	4145	743
848	4149	737
849	4153	732
850	4157	727
851	4160	722
852	4164	717
853	4168	712
854	4172	707
855	4176	702
856	4181	697
857	4184	692
858	4188	687
859	4191	682
860	4195	677
861	4199	672
862	4203	667
863	4206	662
864	4210	657
865	4214	652
866	4218	647
867	4221	641
868	4224	636
869	4227	631
870	4231	626
871	4234	621
872	4237	616
873	4240	611
874	4245	606
875	4248	601
876	4251	596
877	4254	591
878	4258	586
879	4262	581
880	4266	576
881	4269	571
882	4273	566
883	4277	561
884	4281	556
885	4285	551
886	4288	546
887	4292	541
888	4296	536
889	4300	531
890	4303	526
891	4308	521
892	4312	516
893	4316	511
894	4320	506
895	4324	501
896	4329	497
897	4333	492
898	4340	487
899	4344	482
900	4348	477
901	4352	472
902	4356	467
903	4360	463
904	4364	458
905	4368	453
906	4373	448
907	4377	443
908	4381	438
909	4386	433
910	4389	428
911	4392	423
912	4395	418
913	4400	414
914	4404	409
915	4407	404
916	4411	399
917	4415	394
918	4419	389
919	4422	384
920	4425	379
921	4428	374
922	4432	369
923	4436	364
924	4439	359
925	4442	355
926	4447	350
927	4451	345
928	4454	340
929	4458	335
930	4462	330
931	4466	325
932	4469	320
933	4473	316
934	4477	311
935	4481	306
936	4484	301
937	4488	296
938	4492	291
939	4495	286
940	4499	282
941	4503	277
942	4507	272
943	4511	267
944	4514	262
945	4519	257
946	4524	253
947	4529	248
948	4533	243
949	4536	238
950	4541	234
951	4545	229
952	4549	224
953	4552	219
954	4557	214
955	4560	209
956	4564	205
957	4568	200
958	4573	195
959	4577	190
960	4580	185
961	4583	181
962	4588	176
963	4591	171
964	4594	166
965	4597	161
966	4601	157
967	4605	152
968	4608	147
969	4611	142
970	4614	137
971	4619	133
972	4622	128
973	4625	123
974	4629	118
975	4632	113
976	4636	109
977	4639	104
978	4642	99
979	4645	94
980	4650	90
981	4653	85
982	4657	80
983	4660	75
984	4665	71
985	4668	66
986	4671	61
987	4675	56
988	4678	52
989	4682	47
990	4685	42
991	4689	37
992	4692	33
993	4697	28
994	4700	23
995	4704	18
996	4707	14
997	4711	9
998	4715	4
999	4719	0
